program_name,hosting_institution,program_type,application_deadline,program_dates,application_link,notes,keywords,funding,career_stage
International School on Drone and VR for Volcano-Tectonic Studies at Etna (2nd Edition),University of Milano-Bicocca (DISAT) / INGV Etna Observatory,workshop,,"October 6-11, 2026 (registration opens April 24, 2026)",https://etnadronevr.unimib.it/enrollment/,"Hands-on UAV survey and VR training for volcano-tectonic research on Mt Etna. Fee 500 EUR (incl. accommodation/meals). Aimed at PhD candidates and MSc students, given priority.","volcanology, drones, VR, etna",Fee required (500 EUR),Graduate
ACCESS Workshop Series,The Explorers Club,workshop,,"Various 2026 sessions (e.g., April 30, 2026 - Finding and Funding Field Schools)",https://explorers.us21.list-manage.com/track/click?u=02e65d2b768e84dcb1732815d&id=8fe00fccd1&e=9a4dc4a9f5,"Four-part webinar series on careers in research/exploration for high school, undergraduate, and post-grad students. Free registration.","career development, workshop, exploration",Free,"Undergraduate, Graduate"
Cruise of Opportunity - R/V Marcus G. Langseth (Atlantic),UNOLS / Louisiana State University et al.,research assistantship,"March 31, 2026","Tentative July 17 - September 1, 2026 (47 days at sea)",https://docs.google.com/forms/d/e/1FAIpQLSdsTC4UhQCYnDhR0Smv9WwMSLeIKmSRTYAKnOXxJspwaAjHyg/viewform,"Marine geophysical cruise studying mantle dynamics in the western Atlantic. Open to US-based undergrads, grad students, postdocs, early-career scientists. No prior seagoing experience required. Contact bshuck@lsu.edu.","marine geophysics, cruise, oceanography",Funded (aboard ship covered),"Undergraduate, Graduate, Postdoc, Early-career"
Sensing Mountains 2026 Summer School,University of Innsbruck et al.,workshop,"March 15, 2026","September 23-29, 2026",mailto:sensingmountains2026@uibk.ac.at,"Close-range/remote sensing techniques for mountainous terrain. For PhD students, advanced grad students, postdocs. Cost 850€ incl. accommodation/meals. Register via sensingmountains2026@uibk.ac.at.","remote sensing, mountains, summer school",Fee required (850€),"Graduate, Postdoc"
Geohazards and Glaciers Field Methods Course (Montana),University of Montana Western,field camp,"March 9, 2026 (extended); registration/tuition due April 1, 2026","May 18-29, 2026",https://form.jotform.com/253504281359155,"4 semester credits (undergrad/grad) in Geology. Focus: glacial landforms, geohazard mapping, Quaternary geology. Total cost $2,500 incl. tuition, lodging, meals, equipment.","glaciology, geohazards, geology","Fee required ($2,500)","Undergraduate, Graduate"
Planning Safe and Effective Field Campaigns (Panel),PSECCO / NSF Rumpling Project,workshop,,"March 11, 2026",https://lp.constantcontactpages.com/ev/reg/hfxkmet/lp/b942d40f-b3f9-4094-a4e6-0270e05ddcfa,Free 1.5-hour online panel for early-career researchers preparing for Arctic/Antarctic fieldwork. Contact psecco@colorado.edu.,"arctic, antarctic, safety, panel",Free,Early-career
2026 Katmai Field Trip (Volcanology Course),University of Alaska Fairbanks,field camp,"February 28, 2026","June 6-20, 2026",https://www.uaf.edu/geosciences/academics/international-volcanology/index.php,"3-credit course including backpacking expedition to the Valley of Ten Thousand Smokes, Katmai National Park. Enrollment limited to 8 participants.","volcanology, alaska, field course",Not specified,"Undergraduate, Graduate, Early-career"
GEARS 2026 (Generalist Electromechanics for Applied Researchers),Leeman Geophysical LLC,workshop,,"August 3-7, 2026",https://leemangeophysicalllc.github.io/GEARS/2026/2026_summer_home.html,"5-day hands-on instrumentation workshop covering electronics, sensors, fabrication, and data acquisition. Gentry, Arkansas. First come, first served.","geophysics, instrumentation, workshop",Not specified,Any
Researcher in Residence Program,Ocean Networks Canada,research assistantship,,,https://www.oceannetworks.ca/science/science-collaboration-and-student-support/,FYI forward about a researcher-in-residence program for grad students; forwarder offered to advocate for applicants.,"oceanography, canada, research",Not specified,Graduate
Field Trip to Eastern Bushveld Complex,VIPS Commission (IAVCEI),expedition,"February 15, 2026","August 21-25, 2026",https://vipscommission.org/event/field-trip-to-eastern-bushveld-complex/,"Field trip to the eastern Bushveld Complex, South Africa. Limited spots remaining.","geology, south africa, field trip",Not specified,Any
Wrangell Mountains Field Studies 2026,Wrangell Mountains Center (partnered with University of Maine),field camp,Rolling (early submission recommended),,https://wrangellmountainsfieldstudies.org/apply,"6 semester-credit interdisciplinary field research program in McCarthy, Alaska (Wrangell-St. Elias National Park). Focus: geophysics, glacier dynamics, ecology, climate change, land use, policy.","glaciology, alaska, geophysics",Not specified,Any
Inspiring Girls* Expeditions (Girls* on Ice and related programs),Inspiring Girls Expeditions (multiple regional branches),volunteer,"Feb 6 (Canada), Feb 9 (Alaska/Icy Fjords), Feb 13 (Schweiz/Suisse/Austria), March 15 (Alaska/Girls on Water), 2026","12-day expeditions, ~8 days at remote field sites",https://inspiringgirls.org,Tuition-free wilderness science expeditions for teens 16-18. Early-career scientists sought as instructors/team leaders for field leadership experience. Eligibility varies by branch/country.,"glaciology, education, expedition",Funded (tuition-free for participants),Early-career
Glaciology and Machine Learning Summer School (GlaMacLeS 2026),University of Montana,workshop,"February 15, 2026","July 4-13, 2026",https://glamacles.github.io,"For PhD students/postdocs/researchers integrating ML into glaciology research. NSF-funded, covers most travel/lodging/meal costs. Held at Taft-Nicholson Center, Centennial Valley, Montana.","glaciology, machine learning, summer school",Funded (NSF-funded; travel/lodging/meals covered),"Graduate, Postdoc"
MTS Summer Workshops & Scholarships,Marine Technology Society (MTS),workshop,,,https://www.mtsociety.org/mts-summer-workshops,Hands-on training and professional development across marine technology topics; scholarship applications also open.,"marine technology, workshop, scholarship",Not specified,Any
ADVANCEing FieldSafety (AFS) Program,CIRES / University of Colorado Boulder,workshop,Rolling,,https://fieldsafe.colorado.edu/research-and-evaluation,"NSF-funded online course + workshops + toolkit on field safety and inclusive field culture. Field teams joining the research component receive free program access, a certificate, and up to $65 in incentives. Contact fieldsafe@colorado.edu.","field safety, training, workshop",Partial funding (up to $65 incentive),Any
INSULATE Pan-Arctic Permafrost Study - Field Data Contribution,University Centre in Svalbard (UNIS) / Wageningen University,research assistantship,,Summer 2026,mailto:runa.magnusson@wur.nl,Seeking permafrost/vegetation field data from Arctic monitoring sites in exchange for co-authorship on a pan-arctic study. Contact runa.magnusson@wur.nl.,"permafrost, arctic, data collection",Not specified,Any
SZNet 2026 Cascadia Pilot Project,SZ4D / SZNet,expedition,"March 15, 2026","July 20-29, 2026",https://www.sz4d.org/cascadia-pilot-project-application,"Interdisciplinary field trip to Mount Hood, Oregon investigating volcanic hazards. Travel, food, and lodging provided. Open to US and non-US scientists at any career stage.","volcanology, cascadia, field trip","Funded (travel, food, lodging provided)",Any
CVS Goes to Argentina Field Trip,Commission on Volcanogenic Sediments (IAVCEI),expedition,"June 20, 2026","October 19-23, 2026 (tentative)",https://forms.gle/4QxuqbEYiAiYnDU9A,"Field trip on volcanism's impact on sedimentary systems, San Carlos de Bariloche, Patagonia, Argentina. Registration fee $850.","volcanology, sedimentology, argentina",Fee required ($850),Any
GRISO 2026 Summer School,Greenland Ice Sheet Ocean Science (GRISO) Network,workshop,"January 21, 2026","May 18-29, 2026",https://griso.ucsd.edu/griso-summer-school-2026/,"For advanced PhD students and early postdocs; theme 'A Collaborative Future: Strengthening Science & Connections in Greenland.' Held in Nuuk, Greenland.","glaciology, greenland, summer school",Not specified,"Graduate, Postdoc"
Media Training for Polar Early Career Scientists,PSECCO / CIRES,workshop,,"January 29, 2026",https://lp.constantcontactpages.com/ev/reg/gr5vfm3/lp/0b8f7260-a2ba-48cd-a697-f58f10f8a9ed,"Free online training on preparing for media interviews and science communication, for polar early career scientists.","science communication, polar, training",Free,Early-career
FAIR and Ethical Data Collection for Collaborative Polar Research,PSECCO / Arctic Data Center,workshop,,"February 11, 2026",https://lp.constantcontactpages.com/ev/reg/z9khz93/lp/9908b12d-ed9e-4fa3-890d-a69632d5c105,"Free online workshop on FAIR data principles, open data practices, and ethical data collection for polar researchers.","data ethics, polar, workshop",Free,Any
EGU Session: Early Career Perspectives on Research Challenges,European Geosciences Union (EGU) General Assembly 2026,conference,"January 15, 2026",EGU General Assembly 2026 (session dates TBD),https://www.egu26.eu/authors/abstract_submission.html,Education and Outreach Session inviting abstracts on fieldwork/research challenges and solutions from early-career scientists.,"geoscience, conference, education",Not specified,Early-career
JIRP 2026 Teaching Faculty,Juneau Icefield Research Program (JIRP),volunteer,"January 18, 2026 (extended)",8-week summer program; faculty typically serve a 2-week block,https://www.juneauicefield.org/faculty/application,"Volunteer teaching faculty for JIRP's undergraduate field course. Expenses covered once in Juneau (food, lodging, helicopter flights); faculty fund own flights to Juneau.","glaciology, alaska, teaching",Funded (expenses covered in Juneau),"Graduate, Postdoc, Early-career"
JIRP Graduate Field Course 2026,Juneau Icefield Research Program (JIRP),field camp,"February 1, 2026 (extended)",June 2026 (4-week season: 1 week Juneau + 3 weeks on the Icefield),https://www.juneauicefield.org/grad-course,"1-month research/training experience for grad students in cryosphere science. Must be US citizen, permanent resident, or hold valid US study visa. No prior field/mountaineering experience required.","glaciology, alaska, field course",Not specified,Graduate
Gino Watkins Fund Awards,Royal Geographical Society (with IBG),fellowship,"January 31, 2026",,https://www.rgs.org/exploration/grants/expedition-grants/the-gino-watkins-fund-awards,"Up to £4,000 towards expeditions improving knowledge of the polar regions.","polar, expedition, grant","Funded (up to £4,000)",Any
Monica Cole Research Grant,Royal Geographical Society (with IBG),scholarship,"February 3, 2026",,https://www.rgs.org/exploration/grants/student-grants/undergraduate-grants/monica-cole-research-grant,"£1,000 for a UK-based physical geography undergraduate or Masters student for original overseas fieldwork.","geography, undergraduate, grant","Funded (£1,000 award)","Undergraduate, Graduate"
Henrietta Hutton Research Grant,Royal Geographical Society (with IBG),scholarship,"February 3, 2026",,https://www.rgs.org/exploration/grants/student-grants/undergraduate-grants/henrietta-hutton-research-grant,"£500 for UK-based undergrad/Masters students undertaking overseas field research, individually or as a team.","geography, undergraduate, grant",Funded (£500 award),"Undergraduate, Graduate"
Frederick Soddy Postgraduate Award,Royal Geographical Society (with IBG),fellowship,"February 3, 2026",,https://www.rgs.org/exploration/grants/student-grants/phd-grants/frederick-soddy-postgraduate-award,"Up to £6,000 for UK-based PhD students researching the social, economic, and cultural life of a region.","geography, phd, grant","Funded (up to £6,000)",Graduate
RGS-IBG Small Research Grants (February batch),Royal Geographical Society (with IBG),fellowship,"February 3, 2026",,https://www.rgs.org/exploration/grants/research-grants/rgs-ibg-small-research-grants,"Up to £3,500 for UK-based early career researchers conducting original desk or field-based geography research.","geography, early-career, grant","Funded (up to £3,500)",Early-career
RGS Explore Grants,Royal Geographical Society (with IBG),fellowship,"February 15, 2026",,https://www.rgs.org/exploration/grants/expedition-grants/rgs-explore-grants,"Up to £5,000 to support UK-led teams (including student teams) undertaking overseas expeditions/research.","geography, expedition, grant","Funded (up to £5,000)",Any
Innovative Geography Teaching Grants,Royal Geographical Society (with IBG),fellowship,"February 15, 2026",,https://www.rgs.org/exploration/grants/teaching-grants/innovative-geography-teaching-grants,"£1,000 for teacher-higher education teams to create geography teaching materials.","geography, education, grant","Funded (£1,000 award)",Any
Alaska Glaciology Summer School (McCarthy),University of Alaska Fairbanks & Oslo University,workshop,"January 10, 2026","June 6-16, 2026",https://glacierschool.alaska.edu/,"8th International Summer School in Glaciology, open to graduate students worldwide.","glaciology, alaska, summer school",Not specified,Graduate
JIRP 2026 Undergraduate Field Course,Juneau Icefield Research Program (JIRP),field camp,"January 4, 2026 (extended)",Early June - Early August 2026 (8-week expedition),http://juneauicefield.org/students,"8-week undergraduate field course in Polar sciences, traversing the Juneau Icefield from SE Alaska to northern BC. Applicants must be 18+ by program start; no prerequisites required. See juneauicefield.org/students.","glaciology, alaska, field course",Not specified,Undergraduate
Cruise of Opportunity - R/V Kilo Moana,UNOLS,research assistantship,"August 29, 2025 (preferred)","September 22 - October 3, 2025",https://docs.google.com/forms/d/e/1FAIpQLSdzdYKnHHkfXYIycEAY_LPDe1UVjW-qVrQThBZmP5JDCMFqCg/viewform?usp=dialog,Recruiting 2-3 junior scientists for oceanographic cruise studying nutrient limitation and methane production in North Pacific gyres. Honolulu to Honolulu. Limited travel funding. Contact ososa@pugetsound.edu.,"oceanography, cruise, pacific",Partial funding (limited travel funding),"Graduate, Early-career"
UNOLS-MATE Marine Technical Long-term Internship (2025-2026),Woods Hole Oceanographic Institution (WHOI) National Deep Submergence Facility,internship,"August 10, 2025","November 3, 2025 - May 22, 2026",https://docs.google.com/forms/d/e/1FAIpQLSdbWhvqS6p57_yqLLpWISsVhEoQgU6g_4n6Mrgak3iY9ofJlQ/viewform,"Full-time internship supporting HOV Alvin overhaul at WHOI. $600/week stipend + $200/week meal plan + lodging + travel. Must be 18+, US citizen/national/permanent resident.","marine technology, internship, whoi",Funded ($600/week stipend + $200/week meals + lodging + travel),"Undergraduate, Graduate"
Cruise of Opportunity - R/V Thomas G. Thompson,UNOLS / Woods Hole Oceanographic Institution,research assistantship,"March 21, 2025","June 27 - August 7, 2025",mailto:julia.huggins@whoi.edu,Berth of opportunity in the Bay of Bengal studying marine nitrous oxide cycling. Travel funds may be available. No prior experience required; training provided. Email julia.huggins@whoi.edu and mpachiadaki@whoi.edu.,"oceanography, cruise, bay of bengal",Partial funding (travel funds may be available),"Graduate, Early-career"
Cyber Infrastructure Training Cruise - R/V Sikuliaq,University of Alaska Fairbanks,workshop,,"April 10-20, 2025 (tentative)",https://forms.gle/oYZtbFyquV8wCGp56,"Hands-on cyber-infrastructure training cruise from Honolulu to Seward, Alaska, for institution IT professionals and marine technicians. Limited spots.","marine technology, training, cruise",Not specified,Any
Canada-Sweden Arctic Ocean Expedition 2025 - Early Career Scientist Program,Swedish Polar Research Secretariat,expedition,,2025,https://www.polar.se/en/news/2024/open-call-early-career-scientist-program-at-the-canada-sweden-arctic-ocean-expedition-2025/,"Primarily aimed at Swedish/Canadian researchers, but US applicants noted as eligible to apply.","arctic, expedition, oceanography",Not specified,Early-career
Cruise #1 - Cocos Plate OBS and OBEM Deployment,UNOLS / Georgia Institute of Technology et al.,research assistantship,"January 17, 2025","March 11 - April 7, 2025 (±3 days flexibility)",mailto:eilon@ucsb.edu,"Broadband OBS/OBEM deployment across the Cocos Plate aboard R/V Marcus G. Langseth, Puntarenas Costa Rica. Up to 9 science party members; training provided. Travel funds available. Email eilon@ucsb.edu.","seismology, obs, cruise",Partial funding (travel funds available),"Graduate, Early-career"
Cruise #2 - Galápagos Triple Junction OBS Deployment,UNOLS / UC Santa Barbara,research assistantship,"January 17, 2025","April 9 - May 10, 2025 (±3 days flexibility)",mailto:eilon@ucsb.edu,"Broadband OBS deployment across the Galápagos Triple Junction aboard R/V Marcus G. Langseth, Puntarenas Costa Rica to San Diego CA. Up to 9 science party members; travel funds available. Email eilon@ucsb.edu.","seismology, obs, cruise",Partial funding (travel funds available),"Graduate, Early-career"
